小号塔类型,大号塔类型,地形,挂点档距(m),挂点高差(m),弹性系数(MPa)E,计算破断力(N)B,每km电阻(Ω)R,外径(mm)D,线涨系数(1/℃)A,单位长度重量(kg/km)w,总截面(mm^2)S,钢芯直径mm,工况温度(℃),工况风速(m/s),服役时长(天),最大弧垂(m)
0,0,2,183.15378,-5.064,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,1,3549,2.77
0,0,2,185.00143,-5.485,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,1,3549,2.98
0,0,2,289.53522,13.195,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,1,4119,5.6
0,0,2,289.33501,13.315,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,1,4119,5.42
0,0,2,288.95979,12.954,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,1,4119,5.72
0,0,2,200.69925,2.553,76000,83370,0.1209,21.66,0.00002,964.3,277.75,7.98,30,1,4750,3.49
0,0,2,200.64634,2.637,76000,83370,0.1209,21.66,0.00002,964.3,277.75,7.98,30,1,4750,3.2
0,0,2,200.83479,2.627,76000,83370,0.1209,21.66,0.00002,964.3,277.75,7.98,30,1,4750,3.26
0,0,2,344.99567,-4.796,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,1,4119,8.65
0,0,2,344.85481,-4.92,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,1,4119,8.71
0,0,2,344.62401,-5.057,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,1,4119,8.59
0,1,2,187.49362,-2.641,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,1,4119,2.48
0,1,2,184.77612,2.369,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,1,4119,2.04
0,1,2,180.08294,-2.539,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,1,4119,2.48
0,0,2,208.61214,0.239,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,1,3549,3.16
0,0,2,207.67532,0.244,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,1,3549,3.53
0,0,2,207.9183,0.041,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,1,3549,3.55
0,0,2,281.90083,-5.576,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,1,4119,5.42
0,0,2,281.26455,-5.883,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,1,4119,5.81
0,0,2,281.54982,-5.773,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,1,4119,5.69
0,0,2,336.38975,-5.756,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,1,3549,8.59
0,0,2,335.98799,-6.016,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,1,3549,7.72
0,0,2,336.46241,-5.999,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,1,3549,8.46
0,0,2,447.39131,7.15,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,1,4119,12.98
0,0,2,446.93565,12.163,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,1,4119,13.32
0,0,2,446.83687,7.692,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,1,4119,13.13
0,1,2,211.75275,0.821,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,1,3549,3.49
0,1,2,210.46089,5.89,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,1,3549,3.69
0,1,2,207.56146,0.808,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,30,1,3549,3.5
0,0,2,447.0985,7.193,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,3,3730,13.17
0,0,2,447.20954,12.253,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,3,3730,13.45
0,0,2,446.90299,7.173,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,3,3730,13.08
0,0,2,288.83318,13.04,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,23,3,3337,5.42
0,0,2,288.83117,12.92,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,23,3,3337,5.35
0,0,2,288.82764,12.81,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,23,3,3337,5.36
0,0,4,224.77593,2.7,73000,75620,0.11,21.6,0.00002,922.2,275.96,2.4,30,1,3996,3.94
0,0,4,225.39053,2.72,73000,75620,0.11,21.6,0.00002,922.2,275.96,2.4,30,1,3996,3.87
0,0,4,225.43527,2.89,73000,75620,0.11,21.6,0.00002,922.2,275.96,2.4,30,1,3996,4.01
0,0,2,313.50782,9.894,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,1,4119,6.98
0,0,2,314.12649,9.474,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,1,4119,6.72
0,0,2,313.6984,9.877,73000,75620,0.1181,21.6,0.00002,922.2,275.96,7.2,30,1,4119,6.61
1,0,2,440.87786,36.182,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,3,3511,13.05
1,0,2,441.05603,31.342,65000,103900,0.07389,26.82,0.00002,1349,425.24,7.5,27,3,3511,13.22
